iter	F1	Logloss
0	0.6354609929	0.6873752793
1	0.6743589744	0.6812820397
2	0.6806411837	0.6744513158
3	0.6812933025	0.6685351763
4	0.7010804322	0.6630713941
5	0.7083333333	0.662654778
6	0.704856787	0.6571216311
7	0.7263922518	0.6516304428
8	0.7085427136	0.6513409777
9	0.7165644172	0.6460279252
10	0.7301587302	0.6412896843
11	0.7211538462	0.635875338
12	0.7160194175	0.6316431497
13	0.7248484848	0.6273418272
14	0.7363304982	0.6238866391
15	0.7355163728	0.6211158686
16	0.736318408	0.6171600834
17	0.7347447073	0.613735786
18	0.7315855181	0.610396661
19	0.7323232323	0.6102586841
20	0.7443037975	0.6067965664
21	0.7506493506	0.6060855419
22	0.7375328084	0.6051386659
23	0.7598371777	0.602187261
24	0.7533875339	0.6013174651
25	0.7530695771	0.5995888459
26	0.72899729	0.5975695225
27	0.7527472527	0.5944825969
28	0.7448840382	0.5912736181
29	0.7396528705	0.5880429158
30	0.75	0.5874795662
31	0.7503373819	0.5848274489
32	0.7675378267	0.5839210249
33	0.7598371777	0.581266721
34	0.7537012113	0.5790156101
35	0.770718232	0.5780545766
36	0.7837078652	0.576765031
37	0.7784090909	0.5762131504
38	0.7852062589	0.5736119977
39	0.7837078652	0.5718355516
40	0.7834757835	0.5713030721
41	0.7902298851	0.5707561039
42	0.790299572	0.5680499994
43	0.7834757835	0.5661327492
44	0.784992785	0.5651784253
45	0.7884057971	0.5644739374
46	0.7867435159	0.5627249065
47	0.7866473149	0.5623503504
48	0.7900874636	0.561682268
49	0.7883211679	0.5606402027
50	0.78477306	0.5598158056
51	0.7848837209	0.5590980753
52	0.7812041116	0.5576920522
53	0.7776141384	0.5566106414
54	0.7777777778	0.5546374863
55	0.7864506627	0.5544100673
56	0.7882352941	0.5527951247
57	0.7832369942	0.5504538217
58	0.7813411079	0.5497817131
59	0.7883211679	0.5478367156
60	0.7953216374	0.5454457929
61	0.7865497076	0.544819102
62	0.7710144928	0.5441371931
63	0.7727930535	0.5424709747
64	0.775988287	0.541880703
