iter	Passed	Remaining
0	259	207643
1	325	129866
2	341	90737
3	398	79373
4	456	72566
5	488	64638
6	536	60767
7	585	57964
8	596	52467
9	618	48873
10	663	47557
11	709	46584
12	758	45893
13	796	44732
14	840	43997
15	887	43495
16	935	43101
17	979	42540
18	1025	42158
19	1037	40464
20	1079	40040
21	1123	39723
22	1168	39474
23	1222	39526
24	1300	40324
25	1345	40053
26	1390	39800
27	1436	39603
28	1480	39367
29	1550	39793
30	1636	40605
31	1676	40226
32	1739	40441
33	1801	40591
34	1856	40583
35	1914	40632
36	1975	40738
37	2027	40658
38	2080	40600
39	2139	40646
40	2193	40613
41	2251	40628
42	2303	40553
43	2352	40427
44	2411	40454
45	2472	40525
46	2536	40637
47	2564	40182
48	2624	40230
49	2685	40284
50	2733	40151
51	2777	39947
52	2822	39785
53	2882	39817
54	2938	39809
55	2992	39760
56	3038	39603
57	3090	39535
58	3138	39414
59	3185	39285
60	3232	39159
61	3281	39058
62	3327	38928
63	3375	38823
64	3423	38714
